samplename,description,batch,phenotype,sex,variant_regions
MOL18-163696_S77,HCC-1937,MOL18-163696,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163711_S78,HCC-1937-BL,MOL18-163711,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163723_S79,HCC-1954,MOL18-163723,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163727_S80,HCC-1954-BL,MOL18-163727,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163735_S81,NCI-H1184,MOL18-163735,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163738_S82,NCI-BL1184,MOL18-163738,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163739_S83,NCI-H128,MOL18-163739,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163742_S84,NCI-BL128,MOL18-163742,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163752_S85,NCI-H1395,MOL18-163752,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163757_S86,NCI-BL1395,MOL18-163757,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163726_S87,NCI-H1437,MOL18-163726,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163732_S88,NCI-BL1437,MOL18-163732,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163736_S89,NCI-H1770,MOL18-163736,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163779_S90,NCI-BL1770,MOL18-163779,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163781_S91,NCI-H2009,MOL18-163781,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163783_S92,NCI-BL2009,MOL18-163783,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163787_S93,NCI-H2126,MOL18-163787,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163790_S94,NCI-BL2126,MOL18-163790,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163791_S95,NCI-H2171,MOL18-163791,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163792_S96,NCI-BL2171,MOL18-163792,Tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
