samplename,batch,description,phenotype,sex,variant_regions
MOL18-163696_S77,1,HCC-1937,tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163711_S78,1,HCC-1937-BL,normal,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163723_S79,2,HCC-1954,tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163727_S80,2,HCC-1954-BL,normal,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163735_S81,3,NCI-H1184,tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163738_S82,3,NCI-BL1184,normal,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163739_S83,4,NCI-H128,tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163742_S84,4,NCI-BL128,normal,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163752_S85,5,NCI-H1395,tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163757_S86,5,NCI-BL1395,normal,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163726_S87,6,NCI-H1437,tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163732_S88,6,NCI-BL1437,normal,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163736_S89,7,NCI-H1770,tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163779_S90,7,NCI-BL1770,normal,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163781_S91,8,NCI-H2009,tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163783_S92,8,NCI-BL2009,normal,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163787_S93,9,NCI-H2126,tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163790_S94,9,NCI-BL2126,normal,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163791_S95,10,NCI-H2171,tumor,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
MOL18-163792_S96,10,NCI-BL2171,normal,,/isilon/R_and_D/TMB-Dynamic_Range/322_solid_fastq/QIAseqDisc322-Disc-VAF-regions.bed
